FileName,Delta-1:4,Theta-4:8,Alpha-8:13,Beta-13:30,Gamma-30:40
hokuto_dementia1.mat,1527.738,1400.7176,1223.7844,3281.0699,1531.1306
hokuto_dementia10.mat,4465.7692,3885.3643,3085.435,5508.2384,1505.5075
hokuto_dementia11.mat,0,11281.5938,0,20694.7154,17422.9477
hokuto_dementia12.mat,9232.7663,8138.7951,6629.8026,13220.6634,3823.2126
hokuto_dementia13.mat,6805.6846,5951.8738,4787.976,9408.0489,2752.0021
hokuto_dementia14.mat,4433.4244,4155.8993,3732.455,9817.4858,3719.468
hokuto_dementia15.mat,3998.0133,3746.7824,3361.1636,8781.2793,3235.5605
hokuto_dementia16.mat,289.4332,331.9819,387.5704,1877.1317,1214.0302
hokuto_dementia17.mat,1098.8673,985.2355,834.2808,2243.9175,1353.2719
hokuto_dementia18.mat,222452.3885,197786.4201,163231.3505,328668.9459,73765.5244
hokuto_dementia19.mat,5170.8381,4618.0068,3870.9686,9262.6707,3699.6742
hokuto_dementia2.mat,0,1470078.0053,0,2326050.0233,1262856.568
hokuto_dementia20.mat,0,175444.5601,0,277963.7197,153441.1105
hokuto_dementia21.mat,1460.3131,1787.1604,2209.9989,10900.2947,5788.2583
hokuto_dementia22.mat,0,715762.4638,0,1132067.9659,613431.0583
hokuto_dementia23.mat,6348.5437,5602.4388,4580.6465,9618.8715,3449.7693
hokuto_dementia24.mat,7120.91,6269.6012,5075.963,9244.7386,1672.8532
hokuto_dementia25.mat,0,1175465.7184,0,1859986.8421,1009847.6691
hokuto_dementia26.mat,5339.3119,6008.3241,6755.0104,26921.1684,11597.4348
hokuto_dementia27.mat,69803.4276,67931.5269,63967.7184,170625.7469,36938.4945
hokuto_dementia28.mat,2177.0822,2049.7029,1859.9557,5328.3966,2544.7881
hokuto_dementia29.mat,23957.4873,20875.175,16606.8035,28424.2498,3926.101
hokuto_dementia3.mat,1278.396,1214.8179,1133.075,3814.643,1928.3146
hokuto_dementia4.mat,0,397573.6868,0,629541.2979,344165.4039
hokuto_dementia5.mat,9715.4041,8743.269,7358.8373,15553.3726,3254.478
hokuto_dementia6.mat,0,689469.6092,0,1098385.358,603788.4578
hokuto_dementia7.mat,0,12056.0716,0,20566.4864,14836.2218
hokuto_dementia8.mat,0,712550.1869,0,1127092.5592,611559.6272
hokuto_dementia9.mat,0,686656.669,0,1088083.7929,598130.5582
hokuto_mci1.mat,0,1520646.4037,0,2405512.9086,1303163.1646
hokuto_mci10.mat,0,205142.9434,0,323880.8361,176542.3981
hokuto_mci11.mat,9450.3136,8332.7455,6802.8648,13959.4481,3911.1114
hokuto_mci12.mat,0,2881.143,0,8089.8712,11390.9184
hokuto_mci13.mat,0,391486.8856,0,622583.9786,345671.7611
hokuto_mci14.mat,0,92552.3202,0,148985.1177,86838.8332
hokuto_mci15.mat,0,47126.192,0,78324.4521,49852.8482
hokuto_mci2.mat,0,100988.2685,0,161774.3857,93272.9548
hokuto_mci3.mat,0,3212.8506,0,7490.2516,8812.4276
hokuto_mci4.mat,0,238274.5072,0,378521.8103,210232.0357
hokuto_mci5.mat,0,99562.874,0,156767.1504,85367.1731
hokuto_mci6.mat,0,91113.413,0,148297.8475,89744.4265
hokuto_mci7.mat,0,23691685.4259,0,39075876.971,24252315.8008
hokuto_mci8.mat,0,722096.9189,0,1144191.8248,625964.3538
hokuto_mci9.mat,0,13598.3862,0,22452.947,14784.5087
hokuto_control1.mat,2908.9805,2827.438,2688.4236,8410.5309,3596.6721
hokuto_control10.mat,0,71428.6532,0,113660.2736,63869.2037
hokuto_control100.mat,0,130015.1394,0,207877.2239,117858.5341
hokuto_control11.mat,2298.9434,2045.8548,1693.7992,3623.8855,1339.3463
hokuto_control12.mat,1950.3034,1736.828,1449.0971,3451.9188,1476.6548
hokuto_control13.mat,3836.9402,3471.0483,2950.3332,6665.9267,2101.0847
hokuto_control14.mat,0,114996.0029,0,182269.2923,100096.306
hokuto_control15.mat,13358.4946,12004.8461,10076.1185,20940.0291,4304.4242
hokuto_control16.mat,1097.6686,1082.8275,1055.5636,3652.2228,1786.489
hokuto_control17.mat,0,24541043.9526,0,45188313.373,36013787.2637
hokuto_control18.mat,0,43206.9097,0,70442.3825,42799.3129
hokuto_control19.mat,0,305182.2413,0,483265.5806,263477.8189
hokuto_control2.mat,0,334688107.77,0,609482372.5326,476063584.9014
hokuto_control20.mat,0,599051.9287,0,950416.5144,522081.9617
hokuto_control21.mat,214.3984,263.2981,347.2117,2643.453,2633.88
hokuto_control22.mat,6471.4055,5805.4792,4872.1056,10812.4799,3506.1966
hokuto_control23.mat,0,162379.752,0,258248.5745,143793.1248
hokuto_control24.mat,1423.3508,1256.4873,1028.6589,2192.794,771.4663
hokuto_control25.mat,3776.1339,3232.321,2495.5988,3995.1534,811.0824
hokuto_control26.mat,1206.6403,1160.9482,1088.5332,3257.8897,1151.672
hokuto_control27.mat,6003.859,5570.824,4924.3478,12017.4525,3154.8809
hokuto_control28.mat,1330.1489,1267.1445,1188.1686,4179.9109,2553.1226
hokuto_control29.mat,1304.3566,1179.7659,1026.078,3198.8964,1898.6107
hokuto_control3.mat,758.4608,691.2377,594.9118,1399.4424,477.3882
hokuto_control30.mat,1988.7961,1918.4069,1818.4865,6084.0395,3070.401
hokuto_control31.mat,0,59260.848,0,95407.4501,55349.6545
hokuto_control32.mat,0,92120.8743,0,145765.0652,80037.6583
hokuto_control33.mat,567.182,588.9057,623.1954,2915.7821,2215.5497
hokuto_control34.mat,12946.7235,12236.2016,11082.3103,28502.081,9309.7127
hokuto_control35.mat,0,319857.9849,0,507299.712,278763.6198
hokuto_control36.mat,668.8099,687.8026,716.8727,3066.8434,1847.1812
hokuto_control37.mat,2797.8405,2708.8248,2539.1289,7044.0275,2189.0334
hokuto_control38.mat,2736.4787,2473.1667,2101.7031,4885.3665,1845.0674
hokuto_control39.mat,17811.4006,16278.409,14046.3997,33623.108,12737.5212
hokuto_control4.mat,1841.8987,1616.8855,1303.0296,2308.4799,333.8113
hokuto_control40.mat,0,359034.7091,0,566754.0338,305296.7053
hokuto_control41.mat,38246.0731,33981.4164,27970.1587,53610.0558,8275.2418
hokuto_control42.mat,4321.6144,4407.2146,4405.5821,13302.3828,3555.8337
hokuto_control43.mat,304.0995,367.8248,459.8135,2596.7858,1689.9565
hokuto_control44.mat,825.9967,844.8759,871.1408,3603.2575,2180.8839
hokuto_control45.mat,139.6915,135.9649,131.3747,488.0831,282.3178
hokuto_control46.mat,7635.8447,6942.8185,5967.7966,16033.5556,10700.5561
hokuto_control47.mat,1145.0592,1057.1611,933.4693,2617.9553,1472.3235
hokuto_control48.mat,1311.6327,1228.038,1121.8047,3721.1477,2102.7301
hokuto_control49.mat,0,381621.3243,0,601951.5143,324868.0265
hokuto_control5.mat,635.3598,616.4494,590.283,2178.225,1623.4495
hokuto_control50.mat,4374.3389,4241.8024,3992.444,11611.941,4450.8718
hokuto_control51.mat,736.825,724.0764,706.4534,2655.7923,1724.7968
hokuto_control52.mat,1480.2135,1429.0005,1339.2439,3854.114,1477.3485
hokuto_control53.mat,7508.7996,6715.5686,5611.4657,12205.5688,3431.7617
hokuto_control54.mat,15976.1743,13557.2889,10352.4594,17582.3306,5716.6564
hokuto_control55.mat,5974.4474,5393.3583,4599.7684,11272.4431,3838.1361
hokuto_control56.mat,3552.5545,3459.8219,3306.6412,10677.0381,4527.2999
hokuto_control57.mat,0,2504.1407,0,6040.0451,7509.4907
hokuto_control58.mat,90659.1527,79314.5417,63536.8856,111848.9155,17374.6882
hokuto_control59.mat,1506.8631,1440.7606,1338.7283,3964.3924,1599.971
hokuto_control6.mat,498.4452,476.5334,448.2113,1668.1411,1319.8778
hokuto_control60.mat,15112.7586,15156.8592,15042.8127,51625.4637,22854.7152
hokuto_control61.mat,4776303.0623,4595886.9443,4306833.8941,12967667.9928,5110349.1822
hokuto_control62.mat,10757.0158,9799.94,8416.019,18999.6354,4598.9485
hokuto_control63.mat,5701.2661,4919.3766,3860.1593,6746.7991,1659.1304
hokuto_control64.mat,2083.9178,2003.3091,1874.8594,5649.5527,2348.0293
hokuto_control65.mat,2750740.2569,3128782.7597,3696091.9804,20747448.0136,16209730.2296
hokuto_control66.mat,22843.0937,19969.1238,15992.5236,28036.0703,3613.3859
hokuto_control67.mat,212273.9432,258322.5135,323686.3355,1858432.5709,1325608.9882
hokuto_control68.mat,1641529.4953,1955983.0522,2428605.3217,14774153.8322,12026842.5652
hokuto_control69.mat,5765.4614,5318.8778,4641.037,10378.6621,2101.2386
hokuto_control7.mat,6984.9092,6230.6195,5170.5235,10614.6681,2592.5029
hokuto_control70.mat,2554094.3528,2902078.977,3427553.268,19359475.5434,15310063.1545
hokuto_control71.mat,13504.6655,12451.1121,10858.9343,24491.247,4719.9344
hokuto_control72.mat,149650.7984,267567.0377,443664.0173,3652121.197,3242527.9072
hokuto_control73.mat,16081.5744,14463.7793,12109.8912,24211.4573,5183.1964
hokuto_control74.mat,45731045.2982,47116155.3361,49146184.1316,213045418.5361,140794362.296
hokuto_control75.mat,994455.2419,955919.6525,890447.4942,2478805.0878,673404.4934
hokuto_control76.mat,93781.2715,172853.3574,289140.9289,2338309.9847,2013769.3104
hokuto_control77.mat,0,195304.832,0,307375.3843,165457.4402
hokuto_control78.mat,0,68455.7683,0,110175.5916,64726.7615
hokuto_control79.mat,0,149561.7574,0,238191.9124,133708.7271
hokuto_control8.mat,0,137371.5365,0,216718.2382,117581.5646
hokuto_control80.mat,1393339.2672,1327661.4524,1221023.4986,3292453.2614,871130.5134
hokuto_control81.mat,229565.8621,267901.7913,321990.8746,1733391.0398,1183982.9239
hokuto_control82.mat,175966.3287,319764.856,536084.6351,4515089.5114,4112957.9391
hokuto_control83.mat,8036.2995,7279.4841,6184.2039,13265.3162,2816.3311
hokuto_control84.mat,1787.3196,1692.9162,1543.2918,4237.8827,1690.6796
hokuto_control85.mat,2928659.3068,2798243.5409,2589686.2874,7335025.8003,2431450.6147
hokuto_control86.mat,1282172.8285,1223703.5749,1128093.3336,3058014.5183,804266.5262
hokuto_control87.mat,22721672.4432,22285406.6942,21571959.5105,74315630.6241,37869362.7747
hokuto_control88.mat,0,34947.137,0,58965.0788,39794.1213
hokuto_control89.mat,2770679.4747,2641077.1807,2435538.5869,6828957.6154,2239956.0242
hokuto_control9.mat,0,18345.9956,0,29845.5978,18076.2761
hokuto_control90.mat,0,73258.9584,0,117799.7867,68908.1664
hokuto_control91.mat,2351.0954,2163.5237,1903.196,5102.4256,1932.3642
hokuto_control92.mat,18230463.8152,17816768.1078,17141217.9809,57568989.9421,28090145.5493
hokuto_control93.mat,31116794.311,30599218.4708,29742242.3297,103949763.9201,54166354.3835
hokuto_control94.mat,0,116859.3741,0,187582.7902,108110.1001
hokuto_control95.mat,0,321238.9613,0,506042.4001,273118.3101
hokuto_control96.mat,0,36542.4928,0,59703.1525,37075.7984
hokuto_control97.mat,0,508433.8238,0,804645.7444,439695.3403
